date,open,high,low,close,volume,dividend,split
2016-03-14,4352.75,4378.25,4340.5,4366.0,156647.0,0,1
2016-03-15,4364.75,4372.0,4338.0,4364.5,106669.0,0,1
2016-03-16,4366.25,4416.5,4349.0,4397.5,71625.0,0,1
2016-03-17,4396.75,4422.0,4369.0,4402.25,65619.0,0,1
2016-03-18,4404.75,4418.25,4394.0,4414.25,51815.0,0,1
2016-03-20,,,,,,0,1
2016-03-21,4394.75,4421.25,4376.75,4416.25,240454.0,0,1
2016-03-22,4416.0,4440.5,4383.75,4434.5,169724.0,0,1
2016-03-23,4434.75,4441.25,4383.25,4395.5,190219.0,0,1
2016-03-24,4395.0,4401.0,4365.0,4397.25,212040.0,0,1
2016-03-27,,,,,,0,1
2016-03-28,4401.5,4425.75,4381.5,4389.5,196013.0,0,1
2016-03-29,4389.75,4463.5,4374.0,4458.25,133720.0,0,1
2016-03-30,4460.75,4510.25,4456.5,4482.0,229527.0,0,1
2016-03-31,4480.25,4495.5,4462.25,4476.25,222490.0,0,1
2016-04-01,4477.75,4529.5,4441.5,4528.5,190526.0,0,1
2016-04-03,,,,,,0,1
2016-04-04,4526.75,4543.75,4495.25,4500.25,245916.0,0,1
2016-04-05,4499.75,4501.5,4456.5,4469.5,189635.0,0,1
2016-04-06,4476.0,4537.75,4467.25,4535.0,218944.0,0,1
2016-04-07,4533.5,4539.5,4450.75,4470.25,241958.0,0,1
2016-04-08,4467.5,4509.75,4451.5,4467.25,260817.0,0,1
2016-04-10,,,,,,0,1
2016-04-11,4470.0,4509.75,4446.0,4451.5,232565.0,0,1
2016-04-12,4447.0,4497.5,4426.5,4490.0,243297.0,0,1
2016-04-13,4489.0,4553.75,4486.75,4547.75,252487.0,0,1
2016-04-14,4546.5,4563.25,4530.5,4546.25,228380.0,0,1
2016-04-15,4548.75,4554.5,4523.0,4538.5,163850.0,0,1
2016-04-17,,,,,,0,1
2016-04-18,4518.75,4561.25,4501.0,4546.5,171811.0,0,1
2016-04-19,4545.5,4584.5,4506.75,4526.75,179869.0,0,1
2016-04-20,4528.25,4556.0,4509.0,4535.75,256892.0,0,1
2016-04-21,4533.25,4551.75,4488.0,4497.75,193071.0,0,1
2016-04-22,4488.25,4501.75,4431.0,4465.75,239652.0,0,1
2016-04-24,,,,,,0,1
2016-04-25,4477.0,4479.75,4436.0,4472.25,285544.0,0,1
2016-04-26,4472.25,4489.75,4407.0,4452.5,172474.0,0,1
2016-04-27,4405.0,4433.75,4372.25,4423.75,212776.0,0,1
2016-04-28,4432.0,4442.25,4346.25,4382.0,306378.0,0,1
2016-04-29,4383.5,4391.25,4296.75,4331.5,306766.0,0,1
2016-05-01,,,,,,0,1
2016-05-02,4337.0,4378.5,4318.0,4369.0,402426.0,0,1
2016-05-03,4372.0,4374.5,4319.5,4334.5,221470.0,0,1
2016-05-04,4335.5,4342.0,4292.25,4309.75,270601.0,0,1
2016-05-05,4308.25,4342.5,4292.5,4300.25,235256.0,0,1
2016-05-06,4299.25,4333.75,4271.0,4328.25,221674.0,0,1
2016-05-08,,,,,,0,1
2016-05-09,4329.75,4356.5,4318.0,4335.75,262686.0,0,1
2016-05-10,4334.75,4398.75,4323.75,4392.0,206931.0,0,1
2016-05-11,4394.25,4403.0,4350.75,4351.5,204247.0,0,1
2016-05-12,4352.5,4381.75,4305.75,4334.75,208025.0,0,1
2016-05-13,4337.25,4360.5,4303.75,4324.0,262049.0,0,1
2016-05-15,,,,,,0,1
2016-05-16,4316.0,4392.0,4305.5,4375.25,249877.0,0,1
2016-05-17,4372.75,4393.75,4308.0,4319.5,197887.0,0,1
2016-05-18,4321.0,4359.0,4301.0,4332.25,256918.0,0,1
2016-05-19,4337.75,4340.75,4280.75,4317.25,305289.0,0,1
2016-05-20,4317.0,4379.0,4314.5,4362.25,272694.0,0,1
2016-05-22,,,,,,0,1
2016-05-23,4367.75,4381.5,4348.25,4352.5,244244.0,0,1
2016-05-24,4351.5,4448.75,4341.75,4445.25,167178.0,0,1
2016-05-25,4445.5,4489.5,4443.0,4474.75,239635.0,0,1
2016-05-26,4473.5,4495.5,4463.5,4492.25,253726.0,0,1
2016-05-27,4494.0,4513.5,4490.25,4510.0,163693.0,0,1
2016-05-29,,,,,,0,1
2016-05-31,4518.25,4528.25,4497.5,4524.25,153739.0,0,1
2016-06-01,4522.0,4537.5,4502.75,4521.5,209605.0,0,1
2016-06-02,4520.5,4533.0,4486.25,4532.25,194470.0,0,1
2016-06-03,4530.25,4538.75,4478.75,4509.0,179288.0,0,1
2016-06-05,,,,,,0,1
2016-06-06,4511.0,4536.5,4504.0,4525.5,225458.0,0,1
2016-06-07,4524.5,4545.5,4511.25,4514.25,164530.0,0,1
2016-06-08,4512.5,4530.25,4504.0,4519.0,155623.0,0,1
2016-06-09,4518.25,4522.5,4493.5,4512.0,172285.0,0,1
